DATE,SEXRNSA
2012-01-01,130.03226
2012-02-01,128.98723999999999
2012-03-01,131.22543000000002
2012-04-01,133.83546
2012-05-01,137.37005
2012-06-01,139.8938
2012-07-01,141.77756000000002
2012-08-01,141.69242
2012-09-01,142.0927
2012-10-01,141.82232
2012-11-01,142.53375
2012-12-01,141.75343999999998
2013-01-01,141.29605
2013-02-01,140.97359
2013-03-01,145.19632
2013-04-01,149.05003
2013-05-01,153.74372
2013-06-01,156.46291000000002
2013-07-01,159.49774
2013-08-01,160.36319
2013-09-01,160.86754
2013-10-01,160.38837
2013-11-01,160.1687
2013-12-01,159.31602
2014-01-01,158.08962
2014-02-01,159.04558
2014-03-01,162.049743104772
2014-04-01,165.718663579881
2014-05-01,168.100898799591
2014-06-01,169.937193618398
2014-07-01,170.874078927609
2014-08-01,170.853487084214
2014-09-01,170.30862129291
2014-10-01,170.22398852612199
2014-11-01,169.663632866726
2014-12-01,169.749650040474
2015-01-01,168.83321135714502
2015-02-01,170.28123326988998
2015-03-01,174.124308268191
2015-04-01,178.03973063165
2015-05-01,180.54364844639
2015-06-01,182.42804898679
2015-07-01,183.19934760609797
2015-08-01,183.83366738563402
2015-09-01,184.25840924988398
2015-10-01,185.16457621443502
2015-11-01,185.962168884829
2015-12-01,186.265721893595
2016-01-01,186.488466196758
2016-02-01,188.529072375699
2016-03-01,193.02041771598599
2016-04-01,197.006851443479
2016-05-01,199.81825282101397
2016-06-01,202.54570879465803
2016-07-01,203.704225072763
2016-08-01,204.55499639655
2016-09-01,204.54550885234403
2016-10-01,204.80629046284
2016-11-01,205.12604006493
2016-12-01,206.284227183338
2017-01-01,207.49984298769797
2017-02-01,211.317572689333
2017-03-01,216.812942235843
2017-04-01,222.484383176722
2017-05-01,226.425470315376
2017-06-01,229.643838933526
2017-07-01,231.14886356085
2017-08-01,231.566073476741
2017-09-01,230.932073175734
2017-10-01,230.76537315156102
2017-11-01,231.189485739921
2017-12-01,232.507663833385
2018-01-01,234.136984970979
2018-02-01,238.219601098156
2018-03-01,244.927343257894
2018-04-01,251.49192999295897
2018-05-01,257.091391453047
2018-06-01,258.921674266801
2018-07-01,257.70871110235197
2018-08-01,253.643366178098
2018-09-01,250.24780315014198
2018-10-01,247.628059846744
2018-11-01,245.822047720057
2018-12-01,244.28959634504298
2019-01-01,243.62875984756698
2019-02-01,244.962969954506
2019-03-01,249.027888907387
2019-04-01,251.691555667995
2019-05-01,254.118140316286
2019-06-01,255.51900526185798
2019-07-01,256.060957021728
2019-08-01,255.348849060867
2019-09-01,254.589235610802
2019-10-01,253.779560843297
2019-11-01,253.77887348040002
2019-12-01,254.255903330629
2020-01-01,256.221432055161
2020-02-01,259.903228483122
2020-03-01,266.633866604133
2020-04-01,270.238959141536
2020-05-01,271.733411933887
2020-06-01,272.418712741781
2020-07-01,274.051799853555
2020-08-01,277.086942694512
2020-09-01,280.52093995767
2020-10-01,283.462640169362
2020-11-01,286.156792926607
2020-12-01,288.828504737455
2021-01-01,293.104899114463
2021-02-01,301.214861583231
2021-03-01,315.26597263986304
2021-04-01,326.426635585852
2021-05-01,335.42994715332503
2021-06-01,340.848709620953
2021-07-01,343.90678714785304
2021-08-01,344.499187471865
2021-09-01,345.844627733171
2021-10-01,347.971841637081
2021-11-01,352.87270036505095
2021-12-01,358.1279575938
2022-01-01,365.35455224761495
